username,followers,created_at,tweet_text
Sanniszz,136,2020-03-24 12:48:50,I hope covid-19 will be over soon because I bought the Army membership because of the tour. (Of course safety comes… https://t.co/bmGkudtFKU
thetechguy30,7288,2020-03-24 12:48:47,"“Our world today so desperately hungers for hope, yet uncounted people have almost given up. There is despair and h… https://t.co/YQhtySkySU"
bey_today,3291,2020-03-24 12:48:45,"From taxi drivers to fruit vendors, many people can't afford to feed themselves and their families when they leave… https://t.co/MJNwifHJxy"
KsChouhan10,77,2020-03-24 12:48:45,"We feel you raju 
#Hantavirus 
#COVID2019 
#ChartbusterBhulaDunga https://t.co/KkaTnHrqn7"
KashyapKarthik,544,2020-03-24 12:48:44,@BSYBJP Please take the decision firmly and stand by it. Simply do not change very often and create confusions amon… https://t.co/AN17uyoklb
RealMili_,16,2020-03-24 12:48:44,@EliseDermineur This is so bizzare! Is this how the govt is planning to take things in control ? Such stupidity fro… https://t.co/lxilBsfuOb
MandirShivalaya,19,2020-03-24 12:48:42,Message from @MandirShivalaya #BelgraveRoad #Leicester confirming that the #Mandir will close from the 23rd of Marc… https://t.co/YwOzz1hJ7q
daquino122,215,2020-03-24 12:48:40,Two weeks ago I’d never heard of Zoom. Now I’ve been in about a million of them. #COVID2019
AlexSoroiu,189,2020-03-24 12:48:32,Sounds strange to link support for COVID-19 situation to structural reforms🤔 Pushing for fast reform will end up to… https://t.co/mWASFJXF9A
yusufislereng1,952,2020-03-24 12:48:26,All states should unify their power and fight against the China first then to #COVID2019 and #Hantavirus
ankuras143,123,2020-03-24 12:48:25,"https://t.co/ZMzCjzqSr4

A must watch in this time of crisis..

""Fear is the currency of control""… https://t.co/Xj8Vp2grVg"
Kinqhollamee,101,2020-03-24 12:48:24,"@officialnairam1 @Zlatan_Ibile 

Them just inform me picker don get coronavirus oooo

#LockdownNow #COVID19NIGERIA… https://t.co/bZo3H09cO3"
A_D7,626,2020-03-24 12:48:18,"Being quarantined or WFH can easily lead to depression. 

Get off #SocialMedia! It's replete with negativity &amp; diat… https://t.co/f553yTgR7k"
khurram1shaikh,67,2020-03-24 12:48:17,"*Quote of the year/century:*
Dear God, 
Could we please uninstall 2020 and re-install it????  It has a virus!!… https://t.co/skM22Ay8EH"
eSocialEngineer,247,2020-03-24 12:48:15,"I request CM and MP Govt. Please go through the application. 

@ChouhanShivraj @CMMadhyaPradesh @MP_MyGov… https://t.co/6ps37WT5pI"
Aego5,69,2020-03-24 12:47:57,"If this fuckface is the most powerful man in the world, we’re all in danger. He claims that the Democrat’s wants th… https://t.co/brqBHmySh5"
Chriiigiii,159,2020-03-24 12:47:56,"NATIONAL | Switzerland

The new Figures:
Cases Yesterday --&gt; 8'060
Deceases Yesterday --&gt; 66

Cases Today --&gt; 8'836… https://t.co/sSgjZImHNW"
MonisMansoor,269,2020-03-24 12:47:54,We r out numbered by the patients if still not been taken proper measures..#CoronavirusLockdown #COVID19Pakistan #COVID2019
